,text,text_clean
5514,"necessarily assumed the methodic form of an a priori self-explication, one that 
",necessarily assumed methodic form priori selfexplication one
5515,"gives the facts their place in the corresponding universe of pure (or eidetic) 
",gives facts place corresponding universe pure eidetic
5516,"possibilities."" eM, E - p. 84, F - p. 71, G - p. 117. 
",possibilities em e p f p g p
5517,"70. Ibid., E - p. 88, F - p. 74, G - pp. 120-21. 
",ibid e p f p g pp
5518,"71. Thus is realized what Husserl called the "" ... 'unfolding' of the universal Logos 
",thus realized husserl called unfolding universal logos
5519,"of all conceivable being."" eM, E - p. ISS, F - p. 132, G - p. 181. 
",conceivable em e p iss f p g p
5520,"72. Ideas, E - p. 157, F - p. 190, G - p. 138 (pp. 109-110 in 1913 ed.). 
",ideas e p f p g p pp ed
5521,"73. eM, E-pp. 83-84, F -pp. 70-71, G -pp. 116-17. ""Transcendency in every form is 
",em epp f pp g pp transcendency every form
5522,"an immanent existential characteristic, constituted within the ego."" 
",immanent existential characteristic constituted within ego
5523,"REGIONS OF BEING AND REGIONAL ONTOLOGIES IN 
",regions regional ontologies
5524,"HUSSERL'S PHENOMENOLOGY* 
",husserls phenomenology
5525,"LUDWIG LANDGREBE 
",ludwig landgrebe
5526,"The question of the ""constitution [Aujbau] of the world,"" understood for a 
",question constitution aujbau world understood
5527,"long time as exclusively concerning its physical, scientifically determinable 
",long time exclusively concerning physical scientifically determinable
5528,"structure, has gained a more general and comprehensive meaning in 
",structure gained general comprehensive meaning
5529,"philosophical thought in the last few decades. It has developed into the 
",philosophical thought last decades developed
5530,"question of the multiplicity of entities, their kinds and corresponding 
",question multiplicity entities kinds corresponding
5531,"categories, and the relationship of these kinds to one another. Thus, Nicolai 
",categories relationship kinds one another thus nicolai
5532,"Hartmann's attempt to understand this relationship as one of layers of Being"" 
",hartmanns attempt understand relationship one layers
5533,"built up upon one another has received considerable approval. Husserl's 
",built upon one another received considerable approval husserls
5534,"theory of the regions of Being has a special significance in the development of 
",theory regions special significance development
5535,"this problematic, not only because it was the historical starting point for this 
",problematic historical starting point
5536,"whole development, but above all because it allowed the methodical 
",whole development allowed methodical
5537,"presuppositions, in accordance with which one can make distinctions of 
",presuppositions accordance one make distinctions
5538,"kinds, regions or strata of what exists, to be seen with exceptional clarity. 
",kinds regions strata exists seen exceptional clarity
5539,"Thus the justification and limits of such an attempt can be shown by critically 
",thus justification limits attempt shown critically
5540,"discussing this theory. 
",discussing theory
5541,"The development of H usserl's phenomenology is connected with a counter-
",development h usserls phenomenology connected counter
5542,"movement against the naturalism that dominated the end of the nineteenth 
",movement naturalism dominated end nineteenth
5543,"century. For this naturalism there was only one mode of Being, that of the 
",century naturalism one mode
5544,"""objective,"" precisely and scientifically determinable object, and only one kind 
",objective precisely scientifically determinable object one kind
5545,"of law governing the connections between existents, namely the causal 
",law governing connections existents namely causal
5546,"lawfulness of natural interconnection. For logic, the foundations of which 
",lawfulness natural interconnection logic foundations
5547,"Husserl investigated in his earliest works, this meant psychologism.b 
",husserl investigated earliest works meant psychologismb
5548,"Psychologism denied the specific character of objects of thought and their 
",psychologism denied specific character objects thought
5549,"laws. It interpreted the objects of thought as psychic facts, and their lawful 
",laws interpreted objects thought psychic facts lawful
5550,"connection as a causal connection between the occurrences of psychic facts, a 
",connection causal connection occurrences psychic facts
5551,"connection regulated' by natural laws. In his critique of this conception, 
",connection regulated natural laws critique conception
5552,"Husserl showed that Being must be spoken of in different ways, that not all 
",husserl showed must spoken different ways
5553,"Being is Being in the sense of the objects of natural-scientific determination, 
",sense objects naturalscientific determination
5554,"*Translated by William McKenna from Ludwig Landgrebe. ""Seinsregionen und 
",translated william mckenna ludwig landgrebe seinsregionen und
5555,"regionale Ontologien in Husserls Phiinomenologie,"" in Der Weg der Phiinomeno!ogie, 
",regionale ontologien husserls phiinomenologie der weg der phiinomenoogie
5556,"2nd ed. (Giitersloh: Gerd Mohn, 1967); originally published in Studium generate, ix;' 6 
",nd ed giitersloh gerd mohn originally published studium generate ix
5557,"(1956), pp. 313-24. 
",pp
5558,"133 
",
5559,"objects ultimately given by the senses. Rather, there are ""objects of a higher 
",objects ultimately given senses rather objects higher
5560,"order,"" among which must be included the objects of logic. Thus, in his 
",order among must included objects logic thus
5561,"earliest investigations, Husserl had already broken with the principle of a 
",earliest investigations husserl already broken principle
5562,"philosophical interpretation of the world oriented exclusively toward the 
",philosophical interpretation world oriented exclusively toward
5563,"model of being represented by the objects of natural science. 
",model represented objects natural science
5564,"This insight had a further consequence: The Being of natural objects is 
",insight consequence natural objects
5565,"related to sensory intuition, in which such objects are ultimately given and by 
",related sensory intuition objects ultimately given
5566,"means of which all concepts of such objects ultimately have to be verified. 
",means concepts objects ultimately verified
5567,"Now if this kind of objectivity is not the only one, but there are objects of 
",kind objectivity one objects
5568,"another kind, of a higher order, then there must also be a corresponding 
",another kind higher order must also corresponding
5569,"intuition for them. For the distinction between a merely empty presenting, a 
",intuition distinction merely empty presenting
5570,"reproduction, an empty, merely verbal meaning, and self-presence, along with 
",reproduction empty merely verbal meaning selfpresence along
5571,"the consciousness of self-givenness which corresponds to it, holds for 0 bjects. 
",consciousness selfgivenness corresponds holds bjects
